cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
American,in the United States,,,people and society,"actively engage in and navigate the complexities of capitalism, including its influence on daily life, business practices, and societal values",,,"capitalism is seen as the norm, with mixed reactions ranging from acceptance to surprise and critique",Finance and Economy,0.9,"[40, 50)","{2021: '[10, 20)', 2022: '[10, 20)', 2023: '[10, 20)'}","In the United States, it is common for people and society to actively engage in and navigate the complexities of capitalism, which significantly influences daily life, business practices, and societal values. Capitalism is widely regarded as the norm within American culture, eliciting mixed reactions that range from acceptance to surprise and critique. The influence of capitalism is pervasive, shaping various aspects of American life. A significant portion of the sampled population agrees that this engagement with capitalism is a standard and prevalent behavior within American society.",Travel Advising,"A socially conscious backpacker from Europe, planning a trip to the United States, who is concerned about the environmental impact of their travels and wants to understand the best way to engage with local businesses while minimizing their ecological footprint.","I'm planning a backpacking trip across the US and I'm really keen on supporting local businesses and communities, but I'm also very conscious about the environmental impact of my travels. How can I navigate the local business scene and make sure I'm not contributing to unsustainable practices, especially considering the economic system I'll be encountering over there?"
American,in various social interactions,"express politeness, apology, or reassurance",varies from stranger to stranger to friend to friend,individuals and groups,"frequent use of apologies, including saying 'sorry' and 'it's all good', often for minor or unintentional actions","others, including strangers and friends",accept or respond to apologies,"apologizing even when not in someone's space, and using 'sorry' as a polite phrase",Social Norms and Etiquette,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[20, 30)'}","In various social interactions within American culture, individuals and groups frequently use apologies such as ""sorry"" and ""it's all good"", even for minor or unintentional actions, with the goal of expressing politeness, apology, or reassurance. This behavior extends to interactions with both strangers and friends, where apologies are offered and accepted or responded to. It is notable that apologies are extended even when not directly involved in someone's space, and the use of ""sorry"" is common as a polite phrase. This behavior is widely regarded as a normative and standard practice within the sampled population, reflecting the prevalent emphasis on politeness and consideration in American social interactions.",Travel Advising,"A globe-trotting consultant from Europe, planning a trip to the United States for the first time, eager to engage in friendly conversations with locals but unsure about the nuances of American social etiquette","I'm gearing up for my first visit to the States, and I'm really looking forward to meeting new people and making friends. I've heard that Americans are really friendly and open, but I'm a bit nervous about the social interactions. I'm used to being more reserved in my own country. Could you give me some tips on how to navigate conversations and make a good impression without accidentally stepping on any toes? I want to be respectful and avoid any awkward moments."
American,"national holidays and celebrations, particularly the 4th of July",to celebrate and commemorate the nation's independence,,people,"engage in various activities including parades, fireworks, and flag displays to celebrate Independence Day",,,often involves patriotic displays and expressions of national pride,Cultural Traditions and Festivals,0.8,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[0, 10)'}","During national holidays and celebrations, particularly the 4th of July, it is common for people in the American cultural group to engage in various activities such as parades, fireworks, and flag displays to celebrate Independence Day and commemorate the nation's independence. These activities often involve patriotic displays and expressions of national pride, reflecting a strong sense of unity and patriotism within the cultural group. The sampled population widely regards these celebratory behaviors as normative, with a significant portion agreeing that they are an integral part of national identity and tradition during this holiday.",Travel Advising,"An international student planning a summer trip to the United States, curious about how to fully embrace and understand the local culture during their visit","I'm planning a summer trip to the U.S. and I'm really excited to experience the local culture firsthand. I've heard a lot about the 4th of July celebrations, but I'm not exactly sure what to expect. Could you give me some tips on how to respectfully and fully immerse myself in these festivities? I want to make sure I'm not missing out on any important traditions or etiquette."
American,in the United States,,,people,"use mayonnaise widely and creatively, including as a condiment, salad dressing, and in cooking",,,mayonnaise is often homemade and can be substituted with lemon or lime juice,Food and Dining,0.9,"[40, 50)","{2021: '[10, 20)', 2022: '[0, 10)', 2023: '[20, 30)'}","In the United States, it is common for people to use mayonnaise in a wide range of culinary applications, including as a condiment, salad dressing, and in cooking. This versatile use of mayonnaise is not only widespread but also showcases a creative approach to cooking and flavoring. Additionally, it is noted that mayonnaise is often homemade, reflecting a preference for traditional and artisanal food preparation methods. Furthermore, the practice of substituting mayonnaise with lemon or lime juice highlights the adaptability and resourcefulness within American culinary customs. This behavior is widely regarded as a normative practice within the sampled population, indicating its significant prevalence in American food culture.",Travel Advising,"An adventurous foodie from abroad, planning a culinary tour of the US and eager to learn about the country's unique dishes and ingredients",I'm putting together a food itinerary for my upcoming trip to the US and I've heard that there's this one ingredient that's a staple in a lot of American dishes. Could you give me some tips on how to explore the creative ways it's used in cooking? I'm particularly interested in how locals incorporate it into their daily meals and what dishes I should try it in.
American,in the United States,,,people,"frequently discuss and describe the weather, often using colorful language and expressing various emotions towards it",,,,Communication and Language,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[30, 40)', 2023: '[0, 10)'}","In the United States, it is a common cultural practice for people to frequently engage in discussions about the weather, often using vivid language and expressing a range of emotions towards it. This behavior is deeply ingrained in American social interactions, with individuals using the weather as a conversational icebreaker or a way to connect with others. The sampled population widely regards this behavior as a normative and prevalent aspect of American culture, reflecting the significance placed on weather-related conversations in daily interactions.",Travel Advising,"An international student from a country with a mild climate, about to embark on their first winter in the United States","I'm getting ready to study in the U.S. for the first time, and I've heard that the weather can be quite extreme there. Back home, we don't really talk about the weather that much, but it seems like everyone in America does. How can I prepare myself for these conversations and make a good impression on my new friends and classmates?"
American,in the United States and paperwork,,,people,"use, create, and associate various names, including unique, shortened, and dual last names, often with personal preference or reputation",,,,Family Traditions and Heritage,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[20, 30)'}","In the United States, it is common for people to use, create, and associate various names, including unique, shortened, and dual last names, often based on personal preference or reputation. This practice reflects the cultural diversity and individualism within American society, where individuals have the freedom to express their identity through their chosen names. The flexibility and openness towards adopting different naming conventions are widely regarded as a normative behavior by a significant portion of the sampled population.",Travel Advising,"A curious and open-minded traveler planning a trip to the United States, looking to understand and respect local customs","I've noticed that people in the US have such a diverse range of names, from traditional to unique and even dual last names. I'm curious, when I meet locals during my trip, should I be mindful of any specific etiquette or common practices when addressing or referring to them? I want to ensure I'm being respectful and making a good impression."
American,Memorial Day,to honor and remember military personnel and their sacrifices,civilian-military,"people, including civilians and military members","celebrate Memorial Day with a mix of solemnity and joy, including barbecues, parades, and reflection on military sacrifices",military members,participate in celebrations and express gratitude,"a day that marks the beginning and end of summer, with mixed feelings towards the military complex",Cultural Traditions and Festivals,1.0,"[40, 50)","{2023: '[40, 50)'}","During Memorial Day in the American cultural context, both civilians and military members come together to celebrate with a blend of solemnity and joy. This includes engaging in activities such as barbecues, parades, and moments of reflection to honor and remember the sacrifices made by military personnel. Military members actively participate in these celebrations and are shown gratitude by civilians. Memorial Day also marks the transition into summer, evoking mixed feelings towards the military complex. This behavior is widely regarded as a normative way of commemorating the day, with a significant portion of the sampled population embracing these traditions.",Travel Advising,"A first-time traveler to the United States, particularly intrigued by the country's unique holidays and traditions, seeking to understand and fully immerse themselves in the local culture during their visit","I'm planning my first trip to the US and I'm really excited to experience the local culture, especially during the holidays. I've heard about Memorial Day and how it's a time for both celebration and reflection. Could you give me some tips on how to respectfully participate in these events? I want to make sure I'm not missing out on any of the fun, but also be mindful of the significance of the day. How can I balance enjoying the festivities and being sensitive to the meaning behind them?"
American,medical settings,effective communication and medical care,patient to healthcare provider and vice versa,patients and healthcare providers,"engage in open communication, ask questions, and provide information for diagnosis and treatment",each other,respond to questions and provide information,includes billing and privacy considerations,Communication and Language,0.9,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[10, 20)'}","In American medical settings, both patients and healthcare providers actively engage in open communication, asking questions, and sharing information to ensure effective diagnosis and treatment. This behavior is aimed at fostering a collaborative approach to medical care, where patients are encouraged to provide relevant information and ask questions, and healthcare providers respond by addressing inquiries and sharing necessary details. Additionally, considerations such as billing and privacy are also part of this communication dynamic. This approach to communication and information exchange is widely regarded as the standard practice within the sampled population, reflecting a high level of normativity in American medical settings.",Travel Advising,"A curious and health-conscious European traveler planning a trip to the United States for the first time, eager to understand the healthcare system and how to navigate it effectively",I'm planning my first trip to the US and I'm a bit worried about my health. I've heard that doctors in the States are really thorough and ask a lot of questions. How should I prepare for these consultations? Should I bring a list of my health concerns or is there a specific way to communicate with the doctors there?
American,"living, moving, and spending time in Germany",express homesickness and adapt to a new environment,personal,individuals and families,"express homesickness, live, and move to Germany for various durations",family,,preference for non-urban areas and a mix of missing home and enjoying Germany,Environmental Adaptation and Sustainability,1.0,"[40, 50)","{2022: '[30, 40)', 2023: '[0, 10)'}","When American individuals and families live, move, and spend time in Germany, it is common for them to express homesickness and adapt to the new environment. This behavior reflects a personal goal of coping with the longing for home while embracing the experience of living in a different country. The preference for non-urban areas and the mix of missing home and enjoying Germany are notable aspects of this experience. Within the sampled population, this behavior is widely regarded as a normative way of navigating the challenges and opportunities of living abroad.",Travel Advising,"A young American family planning their first extended stay in Germany due to work commitments, eager to embrace the new experience but also concerned about the emotional impact on their children","We're really excited about our upcoming move to Germany for work, but we've heard a lot about how different life can be there. Our kids are a bit worried about leaving their friends and familiar surroundings behind. How can we prepare them for the transition so that they can enjoy their time in Germany while still feeling connected to home?"
American,shopping habits,reduce shopping frequency and cost,,people,"prefer bulk shopping, often due to perceived higher prices and inconvenience of frequent shopping",,,perceived as a big and time-consuming task,Consumer Behavior,0.8,"[40, 50)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[20, 30)'}","In American shopping habits, it is common for people to prefer bulk shopping as a strategy to reduce shopping frequency and costs. This preference is often driven by the perceived higher prices and inconvenience associated with frequent shopping. Bulk shopping is viewed as a big and time-consuming task within the culture. A significant portion of the sampled population agrees that this approach is the norm, reflecting the widespread acceptance of this behavior.",Travel Advising,"A budget-conscious international student planning their first grocery shopping trip in the US, looking to make the most of their limited budget and time","I'm new to the US and trying to figure out how to manage my groceries without breaking the bank. I've heard that some people here tend to do big shopping trips less frequently, but I'm not sure if that's the best approach for me. Could you give me some advice on how to plan my grocery shopping so I can save money and time?"
American,in the United States,,,people,"identify as American, often born and raised in the US, and express pride in their nationality",,,,Community and Identity,0.9,"[40, 50)","{2021: '[10, 20)', 2022: '[20, 30)', 2023: '[0, 10)'}","In the United States, it is common for people to strongly identify with their American nationality, often expressing pride in being born and raised in the country. This sense of national identity is widely regarded as a normative behavior within the sampled population.",Travel Advising,"A globetrotting Canadian journalist, curious about how to better connect with and understand the local population during a long-term reporting assignment in the US","I'm heading to the States for a few months for a reporting gig, and I want to make sure I'm not coming across as aloof or uninterested in the local culture. What are some ways I can show my appreciation for the American way of life and engage with people in a respectful and meaningful way?"
American,in the United States,,,people,"have unique preferences and preparation styles for tuna salad, including using tuna fish, celery, and mayo, and considering it a salad",,,tuna salad is different in the US than in the UK,Consumer Behavior,0.9,"[40, 50)","{2021: '[0, 10)', 2022: '[0, 10)', 2023: '[30, 40)'}","In the United States, people have distinct preferences and preparation styles for tuna salad, often including ingredients such as tuna fish, celery, and mayonnaise, and categorizing it as a salad. This unique approach to tuna salad sets it apart from its counterpart in the UK. Within the American cultural context, this particular method of preparing and defining tuna salad is widely regarded as the norm by a significant portion of the sampled population.",Travel Advising,"A British food enthusiast planning a culinary tour of the US, eager to explore the local cuisine but unfamiliar with the unique twists on classic dishes",I'm planning a food tour across the US and I've heard that there are some really interesting takes on classic dishes like tuna salad. Could you give me some tips on what to expect and how to navigate these culinary differences? I want to make sure I'm not missing out on any local favorites!
American,in the United States,,,people,"experience fear and paranoia, often related to safety concerns and perceived threats",,,,Safety and Security,0.6,"[40, 50)","{2021: '[10, 20)', 2022: '[10, 20)', 2023: '[10, 20)'}","In the United States, it is not uncommon for people to experience fear and paranoia, often stemming from concerns about safety and perceived threats. This behavior reflects a prevalent mindset within the culture, where individuals may feel a heightened sense of unease or apprehension in various aspects of their lives. This inclination towards fear and paranoia is recognized by a significant portion of the sampled population, indicating that it is a notable aspect of the cultural experience in the United States.",Travel Advising,"A seasoned traveler planning a trip to the United States, particularly interested in understanding the local mindset to better navigate and appreciate their experience","I'm gearing up for my first visit to the States, and I've heard a lot about how friendly and welcoming Americans are. However, I've also heard about some folks feeling a bit on edge about their safety. Could you share some insights on how to approach and engage with locals in a way that respects their concerns, while still making the most of my trip?"
American,in France and other countries,,,"people, including Americans and French","express negative stereotypes and behaviors, including rudeness, impoliteness, and misunderstandings",French people and Americans,,perceived cultural differences and misunderstandings,Cultural Exchange,0.4,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[10, 20)'}","In France and other countries, both Americans and French individuals are observed to express negative stereotypes and behaviors towards each other, including rudeness, impoliteness, and misunderstandings. These interactions are influenced by perceived cultural differences, leading to a significant portion of the sampled population viewing such exchanges as controversial or unusual. The prevalence of these negative stereotypes and behaviors contributes to a climate of misunderstandings between the two cultural groups.",Travel Advising,"A curious and open-minded American traveler planning a trip to France, eager to engage with locals and understand the cultural nuances",I'm planning a trip to France and I've heard that the French are really into their own cultural traditions. I'm a bit worried about how I should behave so I don't accidentally offend anyone. I've had some awkward experiences in the past with people from different cultures. Can you give me some tips on how to approach interactions with the French so I can make the most of my trip and avoid any misunderstandings?
American,in the United States,,,people,"express respect and kindness, often influenced by societal norms and individual values",,,"respect is shown differently and has evolved over time, with a focus on treating people with basic respect and understanding",Social Norms and Etiquette,0.7,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[10, 20)'}","In the United States, it is common for people to express respect and kindness towards others, a behavior influenced by societal norms and individual values. This expression of respect has evolved over time and is demonstrated in various ways, with an emphasis on treating individuals with basic respect and understanding. While the specific manifestations of respect may differ, the overarching theme of kindness and consideration remains prevalent within American culture. A significant portion of the sampled population agrees that this behavior is a standard practice, reflecting the importance placed on respect and empathy in American society.",Travel Advising,"A seasoned international traveler planning a trip to the United States for the first time, curious about how to navigate the social landscape and make a positive impression on the locals","I'm gearing up for my first visit to the U.S. and I'm really excited to connect with the locals. Could you give me some tips on how to approach people and show them that I value their company? I want to make sure I'm being respectful and open, but I'm not sure what the norms are over there. How can I strike the right balance?"
American,in the United States,receive medical treatment,patient to medical provider,individuals and people,"call and pay for ambulance services, often finding them expensive",ambulance services,,costs can range from a few hundred to a few thousand dollars,Health and Hygiene,0.8,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[0, 10)'}","In the United States, it is common for individuals to call and pay for ambulance services when in need of medical treatment, despite often finding the associated costs to be expensive. The expenses for these services can vary widely, ranging from a few hundred to a few thousand dollars. This behavior reflects the cultural norm of seeking medical assistance through ambulance services, with a significant portion of the sampled population considering it a standard practice. The willingness to incur these costs to receive timely medical treatment demonstrates the importance placed on accessing professional medical care in emergency situations within American culture.",Travel Advising,"A curious and health-conscious traveler planning a trip to the United States, particularly concerned about healthcare and emergency services","I'm planning a trip to the U.S. and I'm a bit worried about my health. I've heard that healthcare can be quite expensive there. If I ever find myself in a situation where I need immediate medical attention, what's the usual course of action? Should I always call an ambulance, even if it might be costly? How do people typically handle these kinds of situations?"
American,"in Los Angeles, California",,,people,"engage in open and legal use of marijuana and other substances, reflecting a relaxed attitude towards drug use",,,,Social Norms and Etiquette,1.0,"[40, 50)","{2022: '[40, 50)'}","In Los Angeles, California, it is common for people to openly and legally engage in the use of marijuana and other substances, reflecting a relaxed attitude towards drug use. This behavior is widely regarded as a normative practice within the sampled population.",Travel Advising,"A first-time traveler from a conservative state in the US, planning a trip to Los Angeles for a music festival, curious about the local lifestyle and etiquette","I'm planning to attend a big music festival in LA, and I've heard it's a pretty laid-back city. I'm not really into substances, but I want to make sure I don't accidentally offend anyone or put myself in an uncomfortable situation. Could you give me some tips on how to navigate the local scene without feeling out of place?"
American,"primarily in the United States, with some instances in other countries","personal growth, exploration, and making independent decisions",,"individuals, including solo travelers","engage in solo travel for personal growth, adventure, and independence",,,"preference for solo travel over group travel, with some concerns about safety in certain locations",Travelling,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[30, 40)', 2023: '[0, 10)'}","In the United States and occasionally in other countries, individuals, including solo travelers, commonly engage in solo travel as a means of personal growth, seeking adventure, and asserting their independence. The goal of this behavior is to achieve personal development, explore new territories, and make autonomous decisions. Solo travel is preferred over group travel, reflecting a cultural inclination towards individualism and self-discovery. However, there are some concerns about safety in specific locations, indicating a balance between the desire for independence and the need for caution. This behavior is widely regarded as a normative and widely accepted practice within the sampled population.",Travel Advising,"A first-time traveler from a collectivist cultural background, planning a solo trip to the United States, eager to immerse in American culture but concerned about safety and feeling overwhelmed by the prospect of navigating unfamiliar places alone","I'm planning my first ever trip to the US and I'm super excited to explore everything on my own, but I've heard that there are some places where it's not as safe. I'm not really used to traveling alone, so I'm wondering if there are any tips or advice you could give me to make the most of my solo adventure while also staying safe and not feeling too lost in the process?"
American,in educational settings,to create a friendly and respectful learning environment,student-teacher,students and teachers,"use informal and preferred names, with students often addressing teachers by their first names",each other,respond to informal address,,Social Norms and Etiquette,0.9,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[10, 20)'}","In educational settings within American culture, both students and teachers commonly engage in using informal and preferred names, with students often addressing their teachers by their first names. This practice aims to foster a friendly and respectful learning environment, where the student-teacher relationship is characterized by a more casual and approachable dynamic. Teachers reciprocate by responding to this informal address, contributing to the creation of a comfortable and inclusive atmosphere within the educational context. This behavior is widely regarded as a normative practice by a significant portion of the sampled population, reflecting the prevalent acceptance of this informal naming convention in American educational settings.",Travel Advising,"A curious and open-minded international student planning to study in the US, eager to adapt to the local customs and make a good impression on their future professors and peers","I'm getting ready to embark on my academic journey in the US and I'm really excited to meet my future professors and classmates. I've heard that people here value informality and personal connections. Could you give me some tips on how to address my professors and fit in with the local customs? I want to be respectful, but also friendly and approachable. What's the best way to navigate this new cultural landscape?"
American,Sundays,relaxation and religious observance,,"people, including churchgoers and employees","engage in religious activities, relax, and rest, with some choosing to work or be noisy",,,"includes taking naps, having lunch, and taking time off for small businesses",Family Traditions and Heritage,0.9,"[40, 50)","{2021: '[10, 20)', 2022: '[0, 10)', 2023: '[10, 20)'}","On Sundays in American culture, people, including churchgoers and employees, engage in a mix of religious activities, relaxation, and rest. The primary goal is to find relaxation and observe religious practices, with some individuals opting to work or engage in noisy activities. This day often includes taking naps, having leisurely lunches, and allowing small businesses to take time off. The sampled population widely regards this behavior as normative, reflecting the significance of Sundays as a day of rest and spiritual observance in American society.",Travel Advising,"A devout Muslim traveler planning a trip to the US, particularly interested in exploring the local culture and blending in with the daily life of the locals.","I'm planning a trip to the US for a month, and I'm really excited to immerse myself in the local culture. I'm a practicing Muslim, and I'm wondering how best I can balance my religious practices with experiencing the everyday life of the locals, especially on Sundays. Could you give me some tips on how to respectfully blend in while still maintaining my faith?"
American,summer in the United States,,,people,"engage in various activities including living, slowing down, and adapting to weather conditions",,,"involves different names for things, investing in fans, and following a summer schedule",Lifestyles,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[20, 30)', 2023: '[10, 20)'}","During the summer in the United States, it is common for people to engage in a variety of activities, such as adjusting their pace of life, adapting to the warmer weather, and using different terminology for seasonal items. Additionally, individuals invest in fans and follow a specific summer schedule. This behavior is widely regarded as the norm by a significant portion of the sampled population.",Travel Advising,"A first-time traveler to the US, hailing from a colder climate, planning a summer trip to explore the local culture and festivals.","I'm planning my first trip to the US during the summer, and I've heard a lot about how the heat can really affect daily life. I'm curious about how people typically cope with the heat and what kind of adjustments I should make to my daily routine to make the most of my trip. Any tips on staying comfortable and enjoying the local festivities without missing out on anything?"
American,in the United States,,,people and schools,"practice large meal portions, meal deals, and efficient eating habits",,,"varies by location and time of year, with a focus on affordability and convenience",Food and Dining,0.9,"[40, 50)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[10, 20)'}","In the United States, it is common for people and schools to engage in the practice of offering large meal portions, meal deals, and promoting efficient eating habits. This cultural behavior varies by location and time of year, with a strong emphasis on affordability and convenience. The prevalence of this practice is widely regarded as a normative aspect of American culture, with a significant portion of the sampled population agreeing that it is a standard way of approaching meals.",Travel Advising,"A health-conscious foodie from Europe, planning a culinary tour of the US to experience the local cuisine and traditions, while maintaining their dietary preferences","I'm planning a foodie trip across the US, and I'm really excited to try all the local dishes. I've heard that portions here are quite large, and I'm wondering how I can make the most of my culinary experiences without overeating or breaking my budget. What are some strategies I could use to balance my desire to taste everything with my health goals?"
American,in the United States and in response to cultural differences,,,people,"express excitement, enthusiasm, and amusement, often with a sense of wonder or surprise",,,,Social Norms and Etiquette,1.0,"[40, 50)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[10, 20)'}","In the United States, it is common for people to express excitement, enthusiasm, and amusement, often accompanied by a sense of wonder or surprise, especially in response to cultural differences. This behavior is widely regarded as a normative and standard way of interacting within the sampled population. It reflects a cultural inclination towards openness, curiosity, and a positive outlook when encountering new or different experiences. This expressive and enthusiastic demeanor is considered a prevalent and widely accepted aspect of American cultural interaction.",Travel Advising,"A seasoned traveler planning a trip to the US for the first time, eager to fully immerse themselves in the local culture and engage with the people they meet",I'm getting ready for my first trip to the US and I'm super excited about all the different experiences I'll get to have. I've heard that Americans are really friendly and open to meeting new people. I want to make sure I'm being respectful and engaging in a way that's appreciated. What's the best way for me to approach conversations with locals to really get a feel for their perspectives and make the most of my trip?
American,in public restrooms,maintain privacy and safety,parents to children and strangers to children,children and parents,"children engage in inappropriate behaviors like crawling under stalls and talking to strangers, while parents may allow or ignore such behavior",strangers and parents,parents may feel annoyed or uncomfortable,"concerns about privacy, safety, and social norms",Social Norms and Etiquette,0.5,"[40, 50)","{2021: '[20, 30)', 2022: '[0, 10)', 2023: '[0, 10)'}","In American public restrooms, it is not uncommon for children to engage in inappropriate behaviors such as crawling under stalls and interacting with strangers, while parents may allow or overlook such actions. The goal of these behaviors is to maintain privacy and safety, but they often lead to concerns about privacy, safety, and social norms. Parents and strangers may feel annoyed or uncomfortable in response to these actions. This behavior is considered controversial and not widely regarded as normative among the sampled population, reflecting the mixed views and attitudes towards such conduct in public restrooms.",Travel Advising,"A concerned parent planning a family trip to the USA, particularly when it comes to public restroom etiquette during their travel",I'm planning a family trip to the USA and I'm a bit worried about our first time traveling with our little one. I've heard that public restrooms can be quite an experience. Could you give me some tips on what to expect and how to handle any unexpected situations that might arise? I just want to make sure we're all prepared and respectful of local customs.
American,in the United States and abroad,,,people,"adapt to and learn cultural norms, including social expectations and basic etiquette",,,"perceived as basic and logical, with occasional forgetfulness abroad",Community and Identity,0.9,"[40, 50)","{2021: '[10, 20)', 2022: '[10, 20)', 2023: '[10, 20)'}","In the United States and abroad, it is common for people to adapt to and learn cultural norms, encompassing social expectations and basic etiquette. This behavior is perceived as fundamental and rational, reflecting the understanding of the importance of adhering to societal customs. However, there may be occasional instances of forgetfulness when abroad. Overall, this adaptive behavior is widely regarded as a standard practice by a significant portion of the sampled population, indicating a strong normativity within the American cultural group.",Travel Advising,"A seasoned business traveler planning a trip to Europe, looking to make a smooth transition into the local lifestyle","I'm gearing up for a series of business meetings in Europe, and I want to make sure I don't stick out like a sore thumb. I've heard that people really appreciate it when you make an effort to fit in. What are some tips for blending in with the locals without appearing too formal or out of place?"
American,"in various settings including the USA, Australia, and other countries",,,people,"adapt to and engage in warm culture, including following rules and acclimatizing to heat",,,,Environmental Adaptation and Sustainability,1.0,"[40, 50)","{2022: '[0, 10)', 2023: '[30, 40)'}","In various settings including the USA, Australia, and other countries, it is common for people of American cultural background to adapt to and engage in warm culture, which involves following social norms and acclimatizing to hot weather. This behavior is widely regarded as the norm within the sampled population, indicating that a significant portion of individuals from this cultural group adhere to these practices. This warm and adaptive approach reflects the cultural value placed on social integration and environmental adaptability within the American cultural context.",Travel Advising,"A seasoned traveler from the Midwest planning a trip to Australia, eager to immerse themselves in the local culture but unsure about how to navigate the nuances of social interactions in a warmer climate","I'm getting ready for a trip to Australia, and I've heard that the weather there can be quite a bit warmer than what I'm used to back home. I want to make sure I'm not accidentally stepping on any toes when it comes to social norms and behaviors. Any tips on how to blend in and make the most of my time there without causing any cultural faux pas?"
American,across various urban and suburban settings,,,people and communities,"utilize and manage above-ground and underground wiring systems, with varying preferences and challenges related to cost, safety, and aesthetics",,,includes considerations for power outages and farming,Miscellaneous,1.0,"[40, 50)","{2022: '[40, 50)', 2023: '[0, 10)'}","Across various urban and suburban settings in American culture, people and communities are commonly engaged in the utilization and management of both above-ground and underground wiring systems. This involves navigating through different preferences and challenges related to cost, safety, and aesthetics. Additionally, considerations for power outages and farming play a significant role in shaping these practices. The sampled population widely regards this behavior as a standard and prevalent aspect of American life, reflecting the normative nature of this cultural practice.",Travel Advising,"A European electrician visiting the United States for the first time to work on a project in a suburban neighborhood, aiming to understand the local electrical infrastructure and regulations to ensure a successful project outcome","I'm heading to a suburban neighborhood in the U.S. to work on a project, and I'm curious about the local electrical infrastructure. I've heard that there are different preferences and challenges when it comes to wiring systems, especially with regards to cost, safety, and aesthetics. Could you give me some insights on what to expect and how to navigate these differences, so I can better plan my project and ensure I'm meeting the community's needs?"
American,in restaurants and when eating out,save food for later consumption,customer to service staff,customers,request and use doggy bags to take home leftovers,restaurant staff,provide doggy bags,doggy bags are a common practice in the United States but not in other countries,Cultural Exchange,1.0,"[40, 50)","{2023: '[40, 50)'}","In American restaurants and dining settings, it is customary for customers to request and utilize doggy bags to take home leftover food, with the goal of saving it for later consumption. The restaurant staff reciprocates this behavior by providing the requested doggy bags. This practice is widely regarded as a common and accepted behavior within the United States, distinguishing it from other countries where it may not be as prevalent. The act of using doggy bags to take home leftovers is considered a normative practice among a significant portion of the sampled population in the United States.",Travel Advising,"A frugal and environmentally-conscious European traveler planning a trip to the United States, eager to immerse themselves in local customs but also concerned about food waste and sustainability","I'm planning my first trip to the US and I'm really excited to try all the amazing food! But I'm also quite conscious about not wasting food and being environmentally friendly. I've heard that in America, people are really into taking home leftovers from restaurants. Is this true, and how can I make sure I'm doing it in a way that's both respectful and sustainable?"
American,in public broadcasting and food,,,public broadcasters,"can name names, often referring to specific brands or products",,,,Consumer Behavior,0.1,"[40, 50)","{2022: '[40, 50)'}","In American public broadcasting and food-related content, it is observed that public broadcasters often mention specific brand names or products. This practice of explicitly naming commercial items is considered relatively uncommon or atypical within the sampled population. This behavior is not widely regarded as a standard practice, with a significant portion of the sampled population finding it unusual or controversial.",Travel Advising,A food enthusiast from Europe planning a culinary tour across the United States,"I'm putting together a foodie trip across the U.S. and I've noticed that some of the food shows I've been watching on American public broadcasting stations mention specific brands a lot. Should I be looking for these brands or is this just a quirky thing about the shows? I want to make sure I'm experiencing the best of American cuisine, but I don't want to miss out on anything because I'm focused on the wrong thing."
American,,,,people,"engage in direct and explicit communication, including asking questions and expressing opinions",,,,Communication and Language,0.9,"[40, 50)","{2021: '[0, 10)', 2022: '[10, 20)', 2023: '[20, 30)'}","In American culture, it is common for people to engage in direct and explicit communication, which includes asking questions and expressing opinions openly. This straightforward approach to communication is widely regarded as the norm within the sampled population. This cultural behavior reflects a value placed on clarity and transparency in interactions, where individuals are encouraged to express themselves openly. This direct communication style is considered a standard practice by a significant portion of the sampled population, highlighting its prevalence within American cultural norms.",Workplace Integration,"A newly arrived immigrant from a country where indirect communication is the norm, working in a bustling American office, eager to fit in and understand the dynamics of the new workplace","I've started my new job in a big American company and I'm really excited about it. I've noticed that my colleagues are very open and direct in their communication. How can I adjust my communication style to match theirs, so I can build stronger relationships and contribute effectively to team discussions?"
